Positionsdatenaufzeichnung: 
die Positionsdaten werden als Schritt sowie absolut angegeben
die Abtastzeit wird selbständig eingelesen


Die Zeit wird vom Zeitpunkt des Starts gemessen
-----------------------------------------------------------------------

Zeitpunkt: 0ms, Schritt: 0, Distanz: 0.0mm
Zeitpunkt: 20ms, Schritt: 0, Distanz: 0.0mm
Zeitpunkt: 40ms, Schritt: 0, Distanz: 0.0mm
Zeitpunkt: 60ms, Schritt: 0, Distanz: 0.0mm
Zeitpunkt: 80ms, Schritt: -1, Distanz: 0.2875mm
Zeitpunkt: 100ms, Schritt: -1, Distanz: 0.2875mm
Zeitpunkt: 120ms, Schritt: -2, Distanz: 0.575mm
Zeitpunkt: 140ms, Schritt: -2, Distanz: 0.575mm
Zeitpunkt: 160ms, Schritt: -3, Distanz: 0.8624999999999999mm
Zeitpunkt: 180ms, Schritt: -4, Distanz: 1.15mm
Zeitpunkt: 200ms, Schritt: -5, Distanz: 1.4375mm
Zeitpunkt: 220ms, Schritt: -6, Distanz: 1.7249999999999999mm
Zeitpunkt: 240ms, Schritt: -7, Distanz: 2.0124999999999997mm
Zeitpunkt: 260ms, Schritt: -9, Distanz: 2.5875mm
Zeitpunkt: 280ms, Schritt: -10, Distanz: 2.875mm
Zeitpunkt: 300ms, Schritt: -12, Distanz: 3.4499999999999997mm
Zeitpunkt: 320ms, Schritt: -14, Distanz: 4.0249999999999995mm
Zeitpunkt: 340ms, Schritt: -16, Distanz: 4.6mm
Zeitpunkt: 360ms, Schritt: -18, Distanz: 5.175mm
Zeitpunkt: 380ms, Schritt: -20, Distanz: 5.75mm
Zeitpunkt: 400ms, Schritt: -23, Distanz: 6.6125mm
Zeitpunkt: 420ms, Schritt: -26, Distanz: 7.475mm
Zeitpunkt: 440ms, Schritt: -29, Distanz: 8.337499999999999mm
Zeitpunkt: 460ms, Schritt: -32, Distanz: 9.2mm
Zeitpunkt: 480ms, Schritt: -39, Distanz: 11.212499999999999mm
Zeitpunkt: 500ms, Schritt: -39, Distanz: 11.212499999999999mm
Zeitpunkt: 520ms, Schritt: -43, Distanz: 12.362499999999999mm
Zeitpunkt: 540ms, Schritt: -47, Distanz: 13.5125mm
Zeitpunkt: 560ms, Schritt: -57, Distanz: 16.3875mm
Zeitpunkt: 580ms, Schritt: -57, Distanz: 16.3875mm
Zeitpunkt: 600ms, Schritt: -62, Distanz: 17.825mm
Zeitpunkt: 620ms, Schritt: -73, Distanz: 20.987499999999997mm
Zeitpunkt: 640ms, Schritt: -73, Distanz: 20.987499999999997mm
Zeitpunkt: 660ms, Schritt: -79, Distanz: 22.7125mm
Zeitpunkt: 680ms, Schritt: -85, Distanz: 24.437499999999996mm
Zeitpunkt: 700ms, Schritt: -98, Distanz: 28.174999999999997mm
Zeitpunkt: 720ms, Schritt: -98, Distanz: 28.174999999999997mm
Zeitpunkt: 740ms, Schritt: -105, Distanz: 30.187499999999996mm
Zeitpunkt: 760ms, Schritt: -121, Distanz: 34.787499999999994mm
Zeitpunkt: 780ms, Schritt: -121, Distanz: 34.787499999999994mm
Zeitpunkt: 800ms, Schritt: -129, Distanz: 37.0875mm
Zeitpunkt: 820ms, Schritt: -147, Distanz: 42.262499999999996mm
Zeitpunkt: 840ms, Schritt: -147, Distanz: 42.262499999999996mm
Zeitpunkt: 860ms, Schritt: -156, Distanz: 44.849999999999994mm
Zeitpunkt: 880ms, Schritt: -176, Distanz: 50.599999999999994mm
Zeitpunkt: 900ms, Schritt: -176, Distanz: 50.599999999999994mm
Zeitpunkt: 920ms, Schritt: -186, Distanz: 53.474999999999994mm
Zeitpunkt: 940ms, Schritt: -209, Distanz: 60.0875mm
Zeitpunkt: 960ms, Schritt: -209, Distanz: 60.0875mm
Zeitpunkt: 980ms, Schritt: -220, Distanz: 63.24999999999999mm
Zeitpunkt: 1000ms, Schritt: -245, Distanz: 70.4375mm
Zeitpunkt: 1020ms, Schritt: -245, Distanz: 70.4375mm
Zeitpunkt: 1040ms, Schritt: -259, Distanz: 74.46249999999999mm
Zeitpunkt: 1060ms, Schritt: -286, Distanz: 82.225mm
Zeitpunkt: 1080ms, Schritt: -286, Distanz: 82.225mm
Zeitpunkt: 1100ms, Schritt: -316, Distanz: 90.85mm
Zeitpunkt: 1120ms, Schritt: -331, Distanz: 95.1625mm
Zeitpunkt: 1140ms, Schritt: -364, Distanz: 104.64999999999999mm
Zeitpunkt: 1160ms, Schritt: -364, Distanz: 104.64999999999999mm
Zeitpunkt: 1180ms, Schritt: -381, Distanz: 109.5375mm
Zeitpunkt: 1200ms, Schritt: -417, Distanz: 119.88749999999999mm
Zeitpunkt: 1220ms, Schritt: -417, Distanz: 119.88749999999999mm
Zeitpunkt: 1240ms, Schritt: -454, Distanz: 130.52499999999998mm
Zeitpunkt: 1260ms, Schritt: -454, Distanz: 130.52499999999998mm
Zeitpunkt: 1280ms, Schritt: -474, Distanz: 136.27499999999998mm
Zeitpunkt: 1300ms, Schritt: -494, Distanz: 142.02499999999998mm
Zeitpunkt: 1320ms, Schritt: -537, Distanz: 154.3875mm
Zeitpunkt: 1340ms, Schritt: -537, Distanz: 154.3875mm
Zeitpunkt: 1360ms, Schritt: -558, Distanz: 160.42499999999998mm
Zeitpunkt: 1380ms, Schritt: -581, Distanz: 167.0375mm
Zeitpunkt: 1400ms, Schritt: -627, Distanz: 180.2625mm
Zeitpunkt: 1420ms, Schritt: -627, Distanz: 180.2625mm
Zeitpunkt: 1440ms, Schritt: -651, Distanz: 187.1625mm
Zeitpunkt: 1460ms, Schritt: -700, Distanz: 201.24999999999997mm
Zeitpunkt: 1480ms, Schritt: -700, Distanz: 201.24999999999997mm
Zeitpunkt: 1500ms, Schritt: -726, Distanz: 208.725mm
Zeitpunkt: 1520ms, Schritt: -752, Distanz: 216.2mm
Zeitpunkt: 1540ms, Schritt: -805, Distanz: 231.43749999999997mm
Zeitpunkt: 1560ms, Schritt: -805, Distanz: 231.43749999999997mm
Zeitpunkt: 1580ms, Schritt: -832, Distanz: 239.2mm
Zeitpunkt: 1600ms, Schritt: -860, Distanz: 247.24999999999997mm
Zeitpunkt: 1620ms, Schritt: -916, Distanz: 263.34999999999997mm
Zeitpunkt: 1640ms, Schritt: -916, Distanz: 263.34999999999997mm
Zeitpunkt: 1660ms, Schritt: -945, Distanz: 271.6875mm
Zeitpunkt: 1680ms, Schritt: -1005, Distanz: 288.9375mm
Zeitpunkt: 1700ms, Schritt: -1005, Distanz: 288.9375mm
Zeitpunkt: 1720ms, Schritt: -1035, Distanz: 297.5625mm
Zeitpunkt: 1740ms, Schritt: -1096, Distanz: 315.09999999999997mm
Zeitpunkt: 1760ms, Schritt: -1096, Distanz: 315.09999999999997mm
Zeitpunkt: 1780ms, Schritt: -1128, Distanz: 324.29999999999995mm
Zeitpunkt: 1800ms, Schritt: -1192, Distanz: 342.7mm
Zeitpunkt: 1820ms, Schritt: -1192, Distanz: 342.7mm
Zeitpunkt: 1840ms, Schritt: -1224, Distanz: 351.9mm
Zeitpunkt: 1860ms, Schritt: -1290, Distanz: 370.87499999999994mm
Zeitpunkt: 1880ms, Schritt: -1290, Distanz: 370.87499999999994mm
Zeitpunkt: 1900ms, Schritt: -1323, Distanz: 380.36249999999995mm
Zeitpunkt: 1920ms, Schritt: -1357, Distanz: 390.1375mm
Zeitpunkt: 1940ms, Schritt: -1426, Distanz: 409.97499999999997mm
Zeitpunkt: 1960ms, Schritt: -1426, Distanz: 409.97499999999997mm
Zeitpunkt: 1980ms, Schritt: -1460, Distanz: 419.74999999999994mm
Zeitpunkt: 2000ms, Schritt: -1530, Distanz: 439.87499999999994mm
Zeitpunkt: 2020ms, Schritt: -1530, Distanz: 439.87499999999994mm
Zeitpunkt: 2040ms, Schritt: -1566, Distanz: 450.22499999999997mm
Zeitpunkt: 2060ms, Schritt: -1638, Distanz: 470.92499999999995mm
Zeitpunkt: 2080ms, Schritt: -1638, Distanz: 470.92499999999995mm
Zeitpunkt: 2100ms, Schritt: -1674, Distanz: 481.275mm
Zeitpunkt: 2120ms, Schritt: -1710, Distanz: 491.62499999999994mm
Zeitpunkt: 2140ms, Schritt: -1784, Distanz: 512.9mm
Zeitpunkt: 2160ms, Schritt: -1784, Distanz: 512.9mm
Zeitpunkt: 2180ms, Schritt: -1821, Distanz: 523.5374999999999mm
Zeitpunkt: 2200ms, Schritt: -1896, Distanz: 545.0999999999999mm
Zeitpunkt: 2220ms, Schritt: -1896, Distanz: 545.0999999999999mm
Zeitpunkt: 2240ms, Schritt: -1933, Distanz: 555.7375mm
Zeitpunkt: 2260ms, Schritt: -2009, Distanz: 577.5875mm
Zeitpunkt: 2280ms, Schritt: -2009, Distanz: 577.5875mm
Zeitpunkt: 2300ms, Schritt: -2047, Distanz: 588.5124999999999mm
Zeitpunkt: 2320ms, Schritt: -2124, Distanz: 610.65mm
Zeitpunkt: 2340ms, Schritt: -2124, Distanz: 610.65mm
Zeitpunkt: 2360ms, Schritt: -2163, Distanz: 621.8625mm
Zeitpunkt: 2380ms, Schritt: -2241, Distanz: 644.2874999999999mm
Zeitpunkt: 2400ms, Schritt: -2241, Distanz: 644.2874999999999mm
Zeitpunkt: 2420ms, Schritt: -2280, Distanz: 655.5mm
Zeitpunkt: 2440ms, Schritt: -2319, Distanz: 666.7125mm
Zeitpunkt: 2460ms, Schritt: -2398, Distanz: 689.425mm
Zeitpunkt: 2480ms, Schritt: -2398, Distanz: 689.425mm
Zeitpunkt: 2500ms, Schritt: -2438, Distanz: 700.925mm
Zeitpunkt: 2520ms, Schritt: -2517, Distanz: 723.6374999999999mm
Zeitpunkt: 2540ms, Schritt: -2517, Distanz: 723.6374999999999mm
Zeitpunkt: 2560ms, Schritt: -2557, Distanz: 735.1374999999999mm
Zeitpunkt: 2580ms, Schritt: -2636, Distanz: 757.8499999999999mm
Zeitpunkt: 2600ms, Schritt: -2636, Distanz: 757.8499999999999mm
Zeitpunkt: 2620ms, Schritt: -2676, Distanz: 769.3499999999999mm
Zeitpunkt: 2640ms, Schritt: -2716, Distanz: 780.8499999999999mm
Zeitpunkt: 2660ms, Schritt: -2796, Distanz: 803.8499999999999mm
Zeitpunkt: 2680ms, Schritt: -2796, Distanz: 803.8499999999999mm
Zeitpunkt: 2700ms, Schritt: -2836, Distanz: 815.3499999999999mm
Zeitpunkt: 2720ms, Schritt: -2916, Distanz: 838.3499999999999mm
Zeitpunkt: 2740ms, Schritt: -2916, Distanz: 838.3499999999999mm
Zeitpunkt: 2760ms, Schritt: -2956, Distanz: 849.8499999999999mm
Zeitpunkt: 2780ms, Schritt: -3036, Distanz: 872.8499999999999mm
Zeitpunkt: 2800ms, Schritt: -3036, Distanz: 872.8499999999999mm
Zeitpunkt: 2820ms, Schritt: -3076, Distanz: 884.3499999999999mm
Zeitpunkt: 2840ms, Schritt: -3116, Distanz: 895.8499999999999mm
Zeitpunkt: 2860ms, Schritt: -3196, Distanz: 918.8499999999999mm
Zeitpunkt: 2880ms, Schritt: -3196, Distanz: 918.8499999999999mm
Zeitpunkt: 2900ms, Schritt: -3236, Distanz: 930.3499999999999mm
Zeitpunkt: 2920ms, Schritt: -3316, Distanz: 953.3499999999999mm
Zeitpunkt: 2940ms, Schritt: -3316, Distanz: 953.3499999999999mm
Zeitpunkt: 2960ms, Schritt: -3355, Distanz: 964.5624999999999mm
Zeitpunkt: 2980ms, Schritt: -3435, Distanz: 987.5624999999999mm
Zeitpunkt: 3000ms, Schritt: -3435, Distanz: 987.5624999999999mm
Zeitpunkt: 3020ms, Schritt: -3475, Distanz: 999.0624999999999mm
Zeitpunkt: 3040ms, Schritt: -3555, Distanz: 1022.0624999999999mm
Zeitpunkt: 3060ms, Schritt: -3555, Distanz: 1022.0624999999999mm
Zeitpunkt: 3080ms, Schritt: -3595, Distanz: 1033.5625mm
Zeitpunkt: 3100ms, Schritt: -3675, Distanz: 1056.5625mm
Zeitpunkt: 3120ms, Schritt: -3675, Distanz: 1056.5625mm
Zeitpunkt: 3140ms, Schritt: -3715, Distanz: 1068.0625mm
Zeitpunkt: 3160ms, Schritt: -3755, Distanz: 1079.5625mm
Zeitpunkt: 3180ms, Schritt: -3795, Distanz: 1091.0625mm
Zeitpunkt: 3200ms, Schritt: -3875, Distanz: 1114.0625mm
Zeitpunkt: 3220ms, Schritt: -3955, Distanz: 1137.0625mm
Zeitpunkt: 3240ms, Schritt: -3955, Distanz: 1137.0625mm
Zeitpunkt: 3260ms, Schritt: -3994, Distanz: 1148.2749999999999mm
Zeitpunkt: 3280ms, Schritt: -4035, Distanz: 1160.0625mm
Zeitpunkt: 3300ms, Schritt: -4114, Distanz: 1182.7749999999999mm
Zeitpunkt: 3320ms, Schritt: -4114, Distanz: 1182.7749999999999mm
Zeitpunkt: 3340ms, Schritt: -4154, Distanz: 1194.2749999999999mm
Zeitpunkt: 3360ms, Schritt: -4234, Distanz: 1217.2749999999999mm
Zeitpunkt: 3380ms, Schritt: -4234, Distanz: 1217.2749999999999mm
Zeitpunkt: 3400ms, Schritt: -4274, Distanz: 1228.7749999999999mm
Zeitpunkt: 3420ms, Schritt: -4354, Distanz: 1251.7749999999999mm
Zeitpunkt: 3440ms, Schritt: -4354, Distanz: 1251.7749999999999mm
Zeitpunkt: 3460ms, Schritt: -4394, Distanz: 1263.2749999999999mm
Zeitpunkt: 3480ms, Schritt: -4474, Distanz: 1286.2749999999999mm
Zeitpunkt: 3500ms, Schritt: -4474, Distanz: 1286.2749999999999mm
Zeitpunkt: 3520ms, Schritt: -4514, Distanz: 1297.7749999999999mm
Zeitpunkt: 3540ms, Schritt: -4554, Distanz: 1309.2749999999999mm
Zeitpunkt: 3560ms, Schritt: -4634, Distanz: 1332.2749999999999mm
Zeitpunkt: 3580ms, Schritt: -4634, Distanz: 1332.2749999999999mm
Zeitpunkt: 3600ms, Schritt: -4674, Distanz: 1343.7749999999999mm
Zeitpunkt: 3620ms, Schritt: -4753, Distanz: 1366.4875mm
Zeitpunkt: 3640ms, Schritt: -4753, Distanz: 1366.4875mm
Zeitpunkt: 3660ms, Schritt: -4793, Distanz: 1377.9875mm
Zeitpunkt: 3680ms, Schritt: -4833, Distanz: 1389.4875mm
Zeitpunkt: 3700ms, Schritt: -4913, Distanz: 1412.4875mm
Zeitpunkt: 3720ms, Schritt: -4913, Distanz: 1412.4875mm
Zeitpunkt: 3740ms, Schritt: -4953, Distanz: 1423.9875mm
Zeitpunkt: 3760ms, Schritt: -5033, Distanz: 1446.9875mm
Zeitpunkt: 3780ms, Schritt: -5033, Distanz: 1446.9875mm
Zeitpunkt: 3800ms, Schritt: -5073, Distanz: 1458.4875mm
Zeitpunkt: 3820ms, Schritt: -5113, Distanz: 1469.9875mm
Zeitpunkt: 3840ms, Schritt: -5192, Distanz: 1492.6999999999998mm
Zeitpunkt: 3860ms, Schritt: -5192, Distanz: 1492.6999999999998mm
Zeitpunkt: 3880ms, Schritt: -5232, Distanz: 1504.1999999999998mm
Zeitpunkt: 3900ms, Schritt: -5272, Distanz: 1515.6999999999998mm
Zeitpunkt: 3920ms, Schritt: -5352, Distanz: 1538.6999999999998mm
Zeitpunkt: 3940ms, Schritt: -5352, Distanz: 1538.6999999999998mm
Zeitpunkt: 3960ms, Schritt: -5392, Distanz: 1550.1999999999998mm
Zeitpunkt: 3980ms, Schritt: -5472, Distanz: 1573.1999999999998mm
Zeitpunkt: 4000ms, Schritt: -5472, Distanz: 1573.1999999999998mm
Zeitpunkt: 4020ms, Schritt: -5512, Distanz: 1584.6999999999998mm
Zeitpunkt: 4040ms, Schritt: -5552, Distanz: 1596.1999999999998mm
Zeitpunkt: 4060ms, Schritt: -5592, Distanz: 1607.6999999999998mm
Zeitpunkt: 4080ms, Schritt: -5671, Distanz: 1630.4125mm
Zeitpunkt: 4100ms, Schritt: -5671, Distanz: 1630.4125mm
Zeitpunkt: 4120ms, Schritt: -5711, Distanz: 1641.9125mm
Zeitpunkt: 4140ms, Schritt: -5791, Distanz: 1664.9125mm
Zeitpunkt: 4160ms, Schritt: -5791, Distanz: 1664.9125mm
Zeitpunkt: 4180ms, Schritt: -5831, Distanz: 1676.4125mm
Zeitpunkt: 4200ms, Schritt: -5911, Distanz: 1699.4125mm
Zeitpunkt: 4220ms, Schritt: -5911, Distanz: 1699.4125mm
Zeitpunkt: 4240ms, Schritt: -5951, Distanz: 1710.9125mm
Zeitpunkt: 4260ms, Schritt: -6031, Distanz: 1733.9125mm
Zeitpunkt: 4280ms, Schritt: -6031, Distanz: 1733.9125mm
Zeitpunkt: 4300ms, Schritt: -6071, Distanz: 1745.4125mm
Zeitpunkt: 4320ms, Schritt: -6111, Distanz: 1756.9125mm
Zeitpunkt: 4340ms, Schritt: -6191, Distanz: 1779.9125mm
Zeitpunkt: 4360ms, Schritt: -6191, Distanz: 1779.9125mm
Zeitpunkt: 4380ms, Schritt: -6231, Distanz: 1791.4125mm
Zeitpunkt: 4400ms, Schritt: -6310, Distanz: 1814.1249999999998mm
Zeitpunkt: 4420ms, Schritt: -6310, Distanz: 1814.1249999999998mm
Zeitpunkt: 4440ms, Schritt: -6350, Distanz: 1825.6249999999998mm
Zeitpunkt: 4460ms, Schritt: -6430, Distanz: 1848.6249999999998mm
Zeitpunkt: 4480ms, Schritt: -6430, Distanz: 1848.6249999999998mm
Zeitpunkt: 4500ms, Schritt: -6470, Distanz: 1860.1249999999998mm
Zeitpunkt: 4520ms, Schritt: -6550, Distanz: 1883.1249999999998mm
Zeitpunkt: 4540ms, Schritt: -6550, Distanz: 1883.1249999999998mm
Zeitpunkt: 4560ms, Schritt: -6590, Distanz: 1894.6249999999998mm
Zeitpunkt: 4580ms, Schritt: -6630, Distanz: 1906.1249999999998mm
Zeitpunkt: 4600ms, Schritt: -6710, Distanz: 1929.1249999999998mm
Zeitpunkt: 4620ms, Schritt: -6710, Distanz: 1929.1249999999998mm
Zeitpunkt: 4640ms, Schritt: -6750, Distanz: 1940.6249999999998mm
Zeitpunkt: 4660ms, Schritt: -6830, Distanz: 1963.6249999999998mm
Zeitpunkt: 4680ms, Schritt: -6830, Distanz: 1963.6249999999998mm
Zeitpunkt: 4700ms, Schritt: -6870, Distanz: 1975.1249999999998mm
Zeitpunkt: 4720ms, Schritt: -6950, Distanz: 1998.1249999999998mm
Zeitpunkt: 4740ms, Schritt: -6950, Distanz: 1998.1249999999998mm
Zeitpunkt: 4760ms, Schritt: -6990, Distanz: 2009.6249999999998mm
Zeitpunkt: 4780ms, Schritt: -7030, Distanz: 2021.1249999999998mm
Zeitpunkt: 4800ms, Schritt: -7110, Distanz: 2044.1249999999998mm
Zeitpunkt: 4820ms, Schritt: -7149, Distanz: 2055.3374999999996mm
Zeitpunkt: 4840ms, Schritt: -7189, Distanz: 2066.8374999999996mm
Zeitpunkt: 4860ms, Schritt: -7269, Distanz: 2089.8374999999996mm
Zeitpunkt: 4880ms, Schritt: -7269, Distanz: 2089.8374999999996mm
Zeitpunkt: 4900ms, Schritt: -7309, Distanz: 2101.3374999999996mm
Zeitpunkt: 4920ms, Schritt: -7389, Distanz: 2124.3374999999996mm
Zeitpunkt: 4940ms, Schritt: -7389, Distanz: 2124.3374999999996mm
Zeitpunkt: 4960ms, Schritt: -7429, Distanz: 2135.8374999999996mm
Zeitpunkt: 4980ms, Schritt: -7509, Distanz: 2158.8374999999996mm
Zeitpunkt: 5000ms, Schritt: -7509, Distanz: 2158.8374999999996mm
Zeitpunkt: 5020ms, Schritt: -7549, Distanz: 2170.3374999999996mm
Zeitpunkt: 5040ms, Schritt: -7588, Distanz: 2181.5499999999997mm
Zeitpunkt: 5060ms, Schritt: -7669, Distanz: 2204.8374999999996mm
Zeitpunkt: 5080ms, Schritt: -7669, Distanz: 2204.8374999999996mm
Zeitpunkt: 5100ms, Schritt: -7708, Distanz: 2216.0499999999997mm
Zeitpunkt: 5120ms, Schritt: -7788, Distanz: 2239.0499999999997mm
Zeitpunkt: 5140ms, Schritt: -7788, Distanz: 2239.0499999999997mm
Zeitpunkt: 5160ms, Schritt: -7828, Distanz: 2250.5499999999997mm
Zeitpunkt: 5180ms, Schritt: -7908, Distanz: 2273.5499999999997mm
Zeitpunkt: 5200ms, Schritt: -7908, Distanz: 2273.5499999999997mm
Zeitpunkt: 5220ms, Schritt: -7947, Distanz: 2284.7625mm
Zeitpunkt: 5240ms, Schritt: -7987, Distanz: 2296.2625mm
Zeitpunkt: 5260ms, Schritt: -8067, Distanz: 2319.2625mm
Zeitpunkt: 5280ms, Schritt: -8107, Distanz: 2330.7625mm
Zeitpunkt: 5300ms, Schritt: -8147, Distanz: 2342.2625mm
Zeitpunkt: 5320ms, Schritt: -8227, Distanz: 2365.2625mm
Zeitpunkt: 5340ms, Schritt: -8227, Distanz: 2365.2625mm
Zeitpunkt: 5360ms, Schritt: -8267, Distanz: 2376.7625mm
Zeitpunkt: 5380ms, Schritt: -8347, Distanz: 2399.7625mm
Zeitpunkt: 5400ms, Schritt: -8347, Distanz: 2399.7625mm
Zeitpunkt: 5420ms, Schritt: -8387, Distanz: 2411.2625mm
Zeitpunkt: 5440ms, Schritt: -8467, Distanz: 2434.2625mm
Zeitpunkt: 5460ms, Schritt: -8467, Distanz: 2434.2625mm
Zeitpunkt: 5480ms, Schritt: -8507, Distanz: 2445.7625mm
Zeitpunkt: 5500ms, Schritt: -8587, Distanz: 2468.7625mm
Zeitpunkt: 5520ms, Schritt: -8587, Distanz: 2468.7625mm
Zeitpunkt: 5540ms, Schritt: -8627, Distanz: 2480.2625mm
Zeitpunkt: 5560ms, Schritt: -8666, Distanz: 2491.475mm
Zeitpunkt: 5580ms, Schritt: -8746, Distanz: 2514.475mm
Zeitpunkt: 5600ms, Schritt: -8746, Distanz: 2514.475mm
Zeitpunkt: 5620ms, Schritt: -8786, Distanz: 2525.975mm
Zeitpunkt: 5640ms, Schritt: -8866, Distanz: 2548.975mm
Zeitpunkt: 5660ms, Schritt: -8866, Distanz: 2548.975mm
Zeitpunkt: 5680ms, Schritt: -8906, Distanz: 2560.475mm
Zeitpunkt: 5700ms, Schritt: -8986, Distanz: 2583.475mm
Zeitpunkt: 5720ms, Schritt: -8986, Distanz: 2583.475mm
Zeitpunkt: 5740ms, Schritt: -9026, Distanz: 2594.975mm
Zeitpunkt: 5760ms, Schritt: -9066, Distanz: 2606.475mm
Zeitpunkt: 5780ms, Schritt: -9145, Distanz: 2629.1875mm
Zeitpunkt: 5800ms, Schritt: -9145, Distanz: 2629.1875mm
Zeitpunkt: 5820ms, Schritt: -9185, Distanz: 2640.6875mm
Zeitpunkt: 5840ms, Schritt: -9265, Distanz: 2663.6875mm
Zeitpunkt: 5860ms, Schritt: -9265, Distanz: 2663.6875mm
Zeitpunkt: 5880ms, Schritt: -9305, Distanz: 2675.1875mm
Zeitpunkt: 5900ms, Schritt: -9345, Distanz: 2686.6875mm
Zeitpunkt: 5920ms, Schritt: -9425, Distanz: 2709.6875mm
Zeitpunkt: 5940ms, Schritt: -9425, Distanz: 2709.6875mm
Zeitpunkt: 5960ms, Schritt: -9465, Distanz: 2721.1875mm
Zeitpunkt: 5980ms, Schritt: -9545, Distanz: 2744.1875mm
Zeitpunkt: 6000ms, Schritt: -9545, Distanz: 2744.1875mm
Zeitpunkt: 6020ms, Schritt: -9585, Distanz: 2755.6875mm
Zeitpunkt: 6040ms, Schritt: -9665, Distanz: 2778.6875mm
Zeitpunkt: 6060ms, Schritt: -9665, Distanz: 2778.6875mm
Zeitpunkt: 6080ms, Schritt: -9705, Distanz: 2790.1875mm
Zeitpunkt: 6100ms, Schritt: -9745, Distanz: 2801.6875mm
Zeitpunkt: 6120ms, Schritt: -9824, Distanz: 2824.3999999999996mm
Zeitpunkt: 6140ms, Schritt: -9824, Distanz: 2824.3999999999996mm
Zeitpunkt: 6160ms, Schritt: -9864, Distanz: 2835.8999999999996mm
Zeitpunkt: 6180ms, Schritt: -9944, Distanz: 2858.8999999999996mm
Zeitpunkt: 6200ms, Schritt: -9944, Distanz: 2858.8999999999996mm
Zeitpunkt: 6220ms, Schritt: -9984, Distanz: 2870.3999999999996mm
Zeitpunkt: 6240ms, Schritt: -10063, Distanz: 2893.1124999999997mm
Zeitpunkt: 6260ms, Schritt: -10063, Distanz: 2893.1124999999997mm
Zeitpunkt: 6280ms, Schritt: -10103, Distanz: 2904.6124999999997mm
Zeitpunkt: 6300ms, Schritt: -10183, Distanz: 2927.6124999999997mm
Zeitpunkt: 6320ms, Schritt: -10223, Distanz: 2939.1124999999997mm
Zeitpunkt: 6340ms, Schritt: -10303, Distanz: 2962.1124999999997mm
Zeitpunkt: 6360ms, Schritt: -10303, Distanz: 2962.1124999999997mm
Zeitpunkt: 6380ms, Schritt: -10343, Distanz: 2973.6124999999997mm
Zeitpunkt: 6400ms, Schritt: -10382, Distanz: 2984.825mm
Zeitpunkt: 6420ms, Schritt: -10462, Distanz: 3007.825mm
Zeitpunkt: 6440ms, Schritt: -10462, Distanz: 3007.825mm
Zeitpunkt: 6460ms, Schritt: -10501, Distanz: 3019.0375mm
